epoch,accuracy,loss,val_accuracy,val_loss
0,0.7200000286102295,0.7726067900657654,0.8587499856948853,0.31647926568984985
1,0.828000009059906,0.40660151839256287,0.824999988079071,0.3757022023200989
2,0.8690000176429749,0.2918509840965271,0.8399999737739563,0.3760930597782135
3,0.8930000066757202,0.2637951374053955,0.9075000286102295,0.27187296748161316
4,0.9150000214576721,0.23520547151565552,0.8849999904632568,0.32370278239250183
5,0.9309999942779541,0.18407294154167175,0.8387500047683716,0.4339792728424072
6,0.9409999847412109,0.1519402414560318,0.9100000262260437,0.2865617573261261
7,0.9409999847412109,0.14354173839092255,0.9112499952316284,0.2940518856048584
8,0.9559999704360962,0.13199394941329956,0.9075000286102295,0.31837278604507446
9,0.9670000076293945,0.09340780973434448,0.9024999737739563,0.33562684059143066
